Date,Open,High,Low,Close,Adj Close,Volume
08-juil.-23,130.669998,130.779999,128.669998,128.820007,127.106743,594500
08-août-23,127.349998,127.500000,125.290001,126.029999,124.353836,668900
08-sept.-23,125.860001,127.239998,125.120003,125.800003,124.126907,504800
08-oct.-23,126.360001,127.290001,124.269997,124.379997,122.725784,399200
08-nov.-23,123.889999,125.370003,123.750000,124.320000,122.666588,394000
14-août-23,123.730003,123.739998,121.739998,123.699997,122.054825,442500
15-août-23,122.930000,123.739998,121.250000,121.330002,119.716354,404200
16-août-23,120.709999,121.330002,116.419998,116.730003,115.177528,664500
17-août-23,117.089996,117.709999,114.220001,114.349998,112.829178,570900
18-août-23,113.800003,114.849998,113.029999,114.589996,113.065979,746900
21-août-23,114.650002,115.410004,112.309998,112.570000,111.072853,678500
22-août-23,112.230003,113.099998,109.900002,110.809998,109.336258,647500
23-août-23,110.370003,111.949997,109.949997,111.089996,109.612541,510200
24-août-23,110.879997,112.230003,110.000000,111.000000,109.523735,466400
25-août-23,111.639999,112.269997,110.209999,110.680000,109.207993,354400
28-août-23,111.309998,112.889999,111.000000,112.620003,111.122192,463600
29-août-23,112.730003,114.500000,112.180000,114.230003,112.710777,422400
30-août-23,113.430000,114.089996,112.419998,112.559998,111.062981,463100
31-août-23,112.500000,113.570000,111.620003,112.089996,111.241615,450200
09-janv.-23,113.000000,114.239998,112.769997,114.010002,113.147095,316000
09-mai-23,112.809998,113.279999,109.849998,110.070000,109.236908,733300
09-juin-23,110.099998,111.029999,107.860001,108.250000,107.430687,662500
09-juil.-23,107.150002,108.580002,106.690002,107.739998,106.924545,636300
09-août-23,107.900002,108.699997,107.220001,108.449997,107.629173,278100
09-nov.-23,108.550003,109.349998,105.849998,106.580002,105.773331,831800
09-déc.-23,106.480003,107.870003,106.010002,107.099998,106.289391,573300
13-sept.-23,106.820000,106.820000,104.849998,105.610001,104.810669,687800
14-sept.-23,106.519997,107.139999,105.190002,106.620003,105.813026,674600
15-sept.-23,106.260002,107.120003,105.459999,106.839996,106.031357,4439600
18-sept.-23,106.949997,108.019997,106.360001,106.860001,106.051208,812800
19-sept.-23,106.680000,107.459999,106.180000,106.440002,105.634392,400500
20-sept.-23,106.760002,107.959999,106.150002,106.199997,105.396202,326100
21-sept.-23,105.500000,105.970001,104.050003,104.449997,103.659447,528200
